Order_id,Status
6743,waiting
6736,waiting
6728,waiting
5690,waiting
6185,failed
6735,start
6315,ongoing
5892,ongoing
7148,failed
8195,ongoing
5741,waiting
5818,waiting
6708,start
5993,failed
8332,waiting
8302,ongoing
7173,waiting
7016,ongoing
7469,ongoing
7033,failed
6452,start
8628,ongoing
7448,ongoing
8015,start
7638,failed
8592,failed
8187,ongoing
7869,start
6553,ongoing
8722,waiting
6804,waiting
6405,waiting
7079,start
7324,ongoing
8031,waiting
7447,ongoing
6833,ongoing
7344,ongoing
7794,ongoing
5705,ongoing
8095,failed
7777,start
6390,ongoing
6151,ongoing
7556,failed
8312,ongoing
7255,waiting
8147,start
5684,ongoing
6984,failed
6681,start
6931,ongoing
8685,waiting
6831,failed
8571,ongoing
5794,start
6376,waiting
7795,ongoing
6891,waiting
6220,failed
7745,waiting
6246,failed
8391,waiting
7349,failed
7011,ongoing
6486,waiting
7203,failed
8160,waiting
6194,ongoing
6286,ongoing
5893,ongoing
7889,start
6003,waiting
8549,ongoing
6622,start
7338,failed
6976,waiting
6766,waiting
7471,failed
7577,failed
7156,waiting
5977,waiting
6255,failed
8760,start
8126,start
6480,failed
6310,start
7740,waiting
7022,failed
8677,failed
8639,waiting
7493,waiting
7474,failed
8029,ongoing
6943,ongoing
7059,ongoing
8021,waiting
6722,failed
8678,failed
5819,failed
